NID,CONTRIBUTOR,TOTAL
612,"NNP GZC Car '1PURPLE', Person 'D'",1
1414,"NNP GZC Car '5WHITE', Person 'A'",1
644,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",6
572,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1
341,"NNP GZC Car '1WHITE', Person 'B'",3
1189,"NNP GZC Car '1WHITE', Person 'C'",1
716,"NNP GZC Car '1RED', Person 'B'",2
736,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
504,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",4
922,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1566,"NNP GZC Car '8WHITE', Person 'A'",2
1702,"NNP GZC Car '1BLUE', Person 'B'",1
28,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
1557,"NNP GZC Car '1PURPLE', Person 'B'",2
1990,"NNP GZC Car '11WHITE', Person 'A'",2
2093,"NNP GZC Car '6RED', Person 'B'",1
684,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",3
540,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1
1944,"NNP GZC Car '1RED', Person 'A'",2
1528,"NNP GZC Car '1PURPLE', Person 'A'",4
2034,"NNP GZC Car '6RED', Person 'A'",2
1278,"NNP GZC Car '6WHITE', Person 'B'",2
1392,"NNP GZC Car '5WHITE', Person 'A'",1
1957,"NNP GZC Car '1RED', Person 'B'",2
1564,"NNP GZC Car '8WHITE', Person 'A'",1
1259,"NNP GZC Car '1WHITE', Person 'C'",1
716,"NNP GZC Car '7WHITE', Person 'A'",1
1862,"NNP GZC Car '2RED', Person 'B'",2
1680,"NNP GZC Car '1BLUE', Person 'C'",1
2014,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",5
119,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1377,"NNP GZC Car '1BLUE', Person 'B'",2
951,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",3
975,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
668,"NNP GZC Car '1PURPLE', Person 'D'",2
832,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",3
1678,"NNP GZC Car '1RED', Person 'B'",1
533,"NNP GZC Car '7WHITE', Person 'B'",1
938,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
1065,"NNP GZC Car '25PURPLE', Person 'A'",2
1865,"NNP GZC Car '2RED', Person 'A'",2
2005,"NNP GZC Car '6RED', Person 'B'",2
1175,"NNP GZC Car '1WHITE', Person 'A'",1
748,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
1837,"NNP GZC Car '13WHITE', Person 'B'",1
1385,"NNP GZC Car '1BLUE', Person 'A'",1
1941,"NNP GZC Car '1RED', Person 'A'",1
1126,"NNP GZC Car '2WHITE', Person 'A'",1
1550,"NNP GZC Car '1PURPLE', Person 'A'",3
643,"NNP GZC Car '2RED', Person 'B'",3
2080,"NNP GZC Car '6RED', Person 'A'",1
1723,"NNP GZC Car '3WHITE', Person 'A'",4
1653,"NNP GZC Car '15WHITE', Person 'D'",1
1684,"NNP GZC Car '1BLUE', Person 'C'",1
871,"NNP GZC Car '2RED', Person 'A'",6
2143,"NNP GZC Car '5RED', Person 'C'",3
1717,"NNP GZC Car '1PURPLE', Person 'B'",4
1308,"NNP GZC Car '6WHITE', Person 'B'",1
659,"NNP GZC Car '5WHITE', Person 'A'",2
1113,"NNP GZC Car '2WHITE', Person 'A'",2
2097,"NNP GZC Car '3RED', Person 'A'",1
1004,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
741,"NNP GZC Car '1PURPLE', Person 'D'",9
